replay,cell_id,mutant_id,stratum,intended_stage,bypassed_stage,outcome,destination,mutated_source_sha256
1,r1-G-PRE-05-bypass-pytest,G-PRE-05,primary,,pytest,accepted,accepted,c7469f3b6c7a47c1e2f1db47c037a5c41d11899a6c54750036672d63d2eab7f1
1,r1-G-PRE-06-bypass-none,G-PRE-06,primary,,none,controlled_rejection,pytest,9304a3cf95e57b3e5fc5a904052cf8dbf3f257915e45750c25b1b2f03e058088
1,r1-G-PRE-06-bypass-ruff_format,G-PRE-06,primary,,ruff_format,controlled_rejection,pytest,9304a3cf95e57b3e5fc5a904052cf8dbf3f257915e45750c25b1b2f03e058088
1,r1-G-PRE-06-bypass-ruff_lint,G-PRE-06,primary,,ruff_lint,controlled_rejection,pytest,9304a3cf95e57b3e5fc5a904052cf8dbf3f257915e45750c25b1b2f03e058088
1,r1-G-PRE-06-bypass-mypy,G-PRE-06,primary,,mypy,controlled_rejection,pytest,9304a3cf95e57b3e5fc5a904052cf8dbf3f257915e45750c25b1b2f03e058088
1,r1-G-PRE-06-bypass-pytest,G-PRE-06,primary,,pytest,accepted,accepted,9304a3cf95e57b3e5fc5a904052cf8dbf3f257915e45750c25b1b2f03e058088
1,r1-G-SCA-01-bypass-none,G-SCA-01,primary,,none,accepted,accepted,385ca53ca297a2b2c52c397aaa337b333816fc4baa7793c2ba6c4712fa52b16b
1,r1-G-SCA-01-bypass-ruff_format,G-SCA-01,primary,,ruff_format,accepted,accepted,385ca53ca297a2b2c52c397aaa337b333816fc4baa7793c2ba6c4712fa52b16b
1,r1-G-SCA-01-bypass-ruff_lint,G-SCA-01,primary,,ruff_lint,accepted,accepted,385ca53ca297a2b2c52c397aaa337b333816fc4baa7793c2ba6c4712fa52b16b
1,r1-G-SCA-01-bypass-mypy,G-SCA-01,primary,,mypy,accepted,accepted,385ca53ca297a2b2c52c397aaa337b333816fc4baa7793c2ba6c4712fa52b16b
1,r1-G-SCA-01-bypass-pytest,G-SCA-01,primary,,pytest,accepted,accepted,385ca53ca297a2b2c52c397aaa337b333816fc4baa7793c2ba6c4712fa52b16b
1,r1-G-SCA-02-bypass-none,G-SCA-02,primary,,none,controlled_rejection,pytest,871abae3dae2c94a01d82c3bf5c236510435df7f32ebde4159e68567254258f3
1,r1-G-SCA-02-bypass-ruff_format,G-SCA-02,primary,,ruff_format,controlled_rejection,pytest,871abae3dae2c94a01d82c3bf5c236510435df7f32ebde4159e68567254258f3
1,r1-G-SCA-02-bypass-ruff_lint,G-SCA-02,primary,,ruff_lint,controlled_rejection,pytest,871abae3dae2c94a01d82c3bf5c236510435df7f32ebde4159e68567254258f3
1,r1-G-SCA-02-bypass-mypy,G-SCA-02,primary,,mypy,controlled_rejection,pytest,871abae3dae2c94a01d82c3bf5c236510435df7f32ebde4159e68567254258f3
1,r1-G-SCA-02-bypass-pytest,G-SCA-02,primary,,pytest,accepted,accepted,871abae3dae2c94a01d82c3bf5c236510435df7f32ebde4159e68567254258f3
1,r1-G-SCA-03-bypass-none,G-SCA-03,primary,,none,accepted,accepted,2d6e86becf3ed865a00a4fb74859f8e135e30b721d1b8a9698ee2f4e48db21de
1,r1-G-SCA-03-bypass-ruff_format,G-SCA-03,primary,,ruff_format,accepted,accepted,2d6e86becf3ed865a00a4fb74859f8e135e30b721d1b8a9698ee2f4e48db21de
1,r1-G-SCA-03-bypass-ruff_lint,G-SCA-03,primary,,ruff_lint,accepted,accepted,2d6e86becf3ed865a00a4fb74859f8e135e30b721d1b8a9698ee2f4e48db21de
1,r1-G-SCA-03-bypass-mypy,G-SCA-03,primary,,mypy,accepted,accepted,2d6e86becf3ed865a00a4fb74859f8e135e30b721d1b8a9698ee2f4e48db21de
1,r1-G-SCA-03-bypass-pytest,G-SCA-03,primary,,pytest,accepted,accepted,2d6e86becf3ed865a00a4fb74859f8e135e30b721d1b8a9698ee2f4e48db21de
1,r1-G-SCA-04-bypass-none,G-SCA-04,primary,,none,controlled_rejection,pytest,562cee632a05edb3ef0fbde5f91327eca6aa74fa4460a7b86107645c0069b75d
1,r1-G-SCA-04-bypass-ruff_format,G-SCA-04,primary,,ruff_format,controlled_rejection,pytest,562cee632a05edb3ef0fbde5f91327eca6aa74fa4460a7b86107645c0069b75d
1,r1-G-SCA-04-bypass-ruff_lint,G-SCA-04,primary,,ruff_lint,controlled_rejection,pytest,562cee632a05edb3ef0fbde5f91327eca6aa74fa4460a7b86107645c0069b75d
1,r1-G-SCA-04-bypass-mypy,G-SCA-04,primary,,mypy,controlled_rejection,pytest,562cee632a05edb3ef0fbde5f91327eca6aa74fa4460a7b86107645c0069b75d
1,r1-G-SCA-04-bypass-pytest,G-SCA-04,primary,,pytest,accepted,accepted,562cee632a05edb3ef0fbde5f91327eca6aa74fa4460a7b86107645c0069b75d
1,r1-G-SCA-05-bypass-none,G-SCA-05,primary,,none,controlled_rejection,pytest,2c3c3192bfc571b5e04ceb13b54f816ce7afcb9191d97108c8102d362ce4c8d5
1,r1-G-SCA-05-bypass-ruff_format,G-SCA-05,primary,,ruff_format,controlled_rejection,pytest,2c3c3192bfc571b5e04ceb13b54f816ce7afcb9191d97108c8102d362ce4c8d5
1,r1-G-SCA-05-bypass-ruff_lint,G-SCA-05,primary,,ruff_lint,controlled_rejection,pytest,2c3c3192bfc571b5e04ceb13b54f816ce7afcb9191d97108c8102d362ce4c8d5
