removed_stage,variant_id,operator_family,source_stratum,baseline_first_destination,outcome_without_stage,fate
schema_validation,V0186,F4,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0196,F4,fuzz,approval_hash_binding,approval_hash_binding,other_stage_first_hit
schema_validation,V0218,F4,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0209,F4,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0191,F4,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0187,F4,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0192,F4,fuzz,cross_artifact_preflight,cross_artifact_preflight,other_stage_first_hit
schema_validation,V0219,F4,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0193,F4,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0188,F4,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0220,F4,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0210,F4,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0221,F4,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0211,F4,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0197,F4,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0198,F4,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0212,F4,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0222,F4,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0194,F4,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0213,F4,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0199,F4,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0223,F4,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0224,F4,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0204,F4,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0243,F5,directed,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0241,F5,directed,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0244,F5,directed,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0242,F5,directed,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0247,F5,directed,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0245,F5,directed,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0248,F5,directed,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0246,F5,directed,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0297,F5,directed,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0295,F5,directed,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0298,F5,directed,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0296,F5,directed,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0293,F5,directed,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0291,F5,directed,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0294,F5,directed,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0292,F5,directed,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0250,F5,directed,cross_artifact_preflight,cross_artifact_preflight,other_stage_first_hit
schema_validation,V0299,F5,directed,cross_artifact_preflight,cross_artifact_preflight,other_stage_first_hit
schema_validation,V0300,F5,directed,single_artifact_validator,single_artifact_validator,other_stage_first_hit
schema_validation,V0249,F5,directed,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0254,F5,fuzz,schema_validation,downstream_crash,downstream_crash
schema_validation,V0273,F5,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0274,F5,fuzz,schema_validation,cross_artifact_preflight,absorbed_by_later_layer
schema_validation,V0265,F5,fuzz,escape,escape,baseline_escape
schema_validation,V0266,F5,fuzz,escape,escape,baseline_escape
schema_validation,V0281,F5,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
